State,Year,Type,Count,Clean
Oregon,2016,Hybrid Electric (HEV),83300,1
Oregon,2016,Biodiesel,0,1
Oregon,2016,Ethanol/Flex (E85),168600,1
Oregon,2016,Compressed Natural Gas (CNG),15500,1
Oregon,2016,Propane,0,1
Oregon,2016,Hydrogen,0,1
Oregon,2016,Methanol,0,1
Oregon,2016,Gasoline,3077900,0
Oregon,2016,Diesel,220300,0
Oregon,2016,Unknown Fuel,100900,0
Pennsylvania,2016,Electric (EV),3200,1
Pennsylvania,2016,Plug-In Hybrid Electric (PHEV),5400,1
Pennsylvania,2016,Hybrid Electric (HEV),103200,1
Pennsylvania,2016,Biodiesel,0,1
Pennsylvania,2016,Ethanol/Flex (E85),776400,1
Pennsylvania,2016,Compressed Natural Gas (CNG),15300,1
Pennsylvania,2016,Propane,0,1
Pennsylvania,2016,Hydrogen,0,1
Pennsylvania,2016,Methanol,0,1
Pennsylvania,2016,Gasoline,8767400,0
Pennsylvania,2016,Diesel,223100,0
Pennsylvania,2016,Unknown Fuel,90200,0
Rhode Island,2016,Electric (EV),300,1
Rhode Island,2016,Plug-In Hybrid Electric (PHEV),600,1
Rhode Island,2016,Hybrid Electric (HEV),11000,1
Rhode Island,2016,Biodiesel,0,1
Rhode Island,2016,Ethanol/Flex (E85),44300,1
Rhode Island,2016,Compressed Natural Gas (CNG),700,1
Rhode Island,2016,Propane,0,1
Rhode Island,2016,Hydrogen,0,1
Rhode Island,2016,Methanol,0,1
Rhode Island,2016,Gasoline,778200,0
Rhode Island,2016,Diesel,14000,0
Rhode Island,2016,Unknown Fuel,8500,0
South Carolina,2016,Electric (EV),800,1
South Carolina,2016,Plug-In Hybrid Electric (PHEV),1200,1
South Carolina,2016,Hybrid Electric (HEV),39300,1
South Carolina,2016,Biodiesel,0,1
South Carolina,2016,Ethanol/Flex (E85),373900,1
South Carolina,2016,Compressed Natural Gas (CNG),16100,1
South Carolina,2016,Propane,0,1
South Carolina,2016,Hydrogen,0,1
South Carolina,2016,Methanol,0,1
South Carolina,2016,Gasoline,3814700,0
South Carolina,2016,Diesel,102900,0
South Carolina,2016,Unknown Fuel,67900,0
South Dakota,2016,Electric (EV),100,1
South Dakota,2016,Plug-In Hybrid Electric (PHEV),200,1
South Dakota,2016,Hybrid Electric (HEV),5300,1
South Dakota,2016,Biodiesel,0,1
South Dakota,2016,Ethanol/Flex (E85),113100,1
South Dakota,2016,Compressed Natural Gas (CNG),5700,1
South Dakota,2016,Propane,0,1
South Dakota,2016,Hydrogen,0,1
South Dakota,2016,Methanol,0,1
South Dakota,2016,Gasoline,667200,0
South Dakota,2016,Diesel,56200,0
South Dakota,2016,Unknown Fuel,24200,0
Tennessee,2016,Electric (EV),2600,1
Tennessee,2016,Plug-In Hybrid Electric (PHEV),1700,1
Tennessee,2016,Hybrid Electric (HEV),48400,1
Tennessee,2016,Biodiesel,0,1
Tennessee,2016,Ethanol/Flex (E85),442400,1
Tennessee,2016,Compressed Natural Gas (CNG),21300,1
Tennessee,2016,Propane,0,1
Tennessee,2016,Hydrogen,0,1
Tennessee,2016,Methanol,0,1
Tennessee,2016,Gasoline,4772600,0
Tennessee,2016,Diesel,137900,0
Tennessee,2016,Unknown Fuel,59800,0
Texas,2016,Electric (EV),11900,1
Texas,2016,Plug-In Hybrid Electric (PHEV),8000,1
Texas,2016,Hybrid Electric (HEV),205800,1
Texas,2016,Biodiesel,0,1
Texas,2016,Ethanol/Flex (E85),2596600,1
Texas,2016,Compressed Natural Gas (CNG),64700,1
Texas,2016,Propane,0,1
Texas,2016,Hydrogen,0,1
Texas,2016,Methanol,0,1
Texas,2016,Gasoline,18245400,0
Texas,2016,Diesel,961200,0
Texas,2016,Unknown Fuel,213100,0
Utah,2016,Electric (EV),2500,1
Utah,2016,Plug-In Hybrid Electric (PHEV),1700,1
Utah,2016,Hybrid Electric (HEV),32700,1
Utah,2016,Biodiesel,0,1
Utah,2016,Ethanol/Flex (E85),172900,1
Utah,2016,Compressed Natural Gas (CNG),10800,1
Utah,2016,Propane,0,1
Utah,2016,Hydrogen,0,1
Utah,2016,Methanol,0,1
Utah,2016,Gasoline,2072100,0
Utah,2016,Diesel,150800,0
Utah,2016,Unknown Fuel,38700,0
Vermont,2016,Electric (EV),300,1
Vermont,2016,Plug-In Hybrid Electric (PHEV),1200,1
Vermont,2016,Hybrid Electric (HEV),11600,1
Vermont,2016,Biodiesel,0,1
Vermont,2016,Ethanol/Flex (E85),49300,1
Vermont,2016,Compressed Natural Gas (CNG),800,1
Vermont,2016,Propane,0,1
Vermont,2016,Hydrogen,0,1
Vermont,2016,Methanol,0,1
Vermont,2016,Gasoline,521600,0
Vermont,2016,Diesel,20200,0
Vermont,2016,Unknown Fuel,8400,0
Virginia,2016,Electric (EV),3100,1
Virginia,2016,Plug-In Hybrid Electric (PHEV),4200,1
Virginia,2016,Hybrid Electric (HEV),126700,1
Virginia,2016,Biodiesel,0,1
Virginia,2016,Ethanol/Flex (E85),463300,1
Virginia,2016,Compressed Natural Gas (CNG),17900,1
Virginia,2016,Propane,0,1
Virginia,2016,Hydrogen,0,1
Virginia,2016,Methanol,0,1
Virginia,2016,Gasoline,6554200,0
Virginia,2016,Diesel,168900,0
Virginia,2016,Unknown Fuel,64900,0
Washington,2016,Electric (EV),14900,1
Washington,2016,Plug-In Hybrid Electric (PHEV),6400,1
Washington,2016,Hybrid Electric (HEV),143400,1
Washington,2016,Biodiesel,0,1
Washington,2016,Ethanol/Flex (E85),304100,1
Washington,2016,Compressed Natural Gas (CNG),24400,1
Washington,2016,Propane,0,1
Washington,2016,Hydrogen,0,1
Washington,2016,Methanol,0,1
Washington,2016,Gasoline,5329200,0
Washington,2016,Diesel,272100,0
Washington,2016,Unknown Fuel,133900,0
West Virginia,2016,Electric (EV),100,1
West Virginia,2016,Plug-In Hybrid Electric (PHEV),300,1
West Virginia,2016,Hybrid Electric (HEV),9200,1
West Virginia,2016,Biodiesel,0,1
West Virginia,2016,Ethanol/Flex (E85),150300,1
West Virginia,2016,Compressed Natural Gas (CNG),4400,1
West Virginia,2016,Propane,0,1
West Virginia,2016,Hydrogen,0,1
West Virginia,2016,Methanol,0,1
West Virginia,2016,Gasoline,1286500,0
West Virginia,2016,Diesel,52000,0
West Virginia,2016,Unknown Fuel,21600,0
Wisconsin,2016,Electric (EV),2600,1
Wisconsin,2016,Plug-In Hybrid Electric (PHEV),2600,1
Wisconsin,2016,Hybrid Electric (HEV),61700,1
Wisconsin,2016,Biodiesel,0,1
Wisconsin,2016,Ethanol/Flex (E85),579200,1
Wisconsin,2016,Compressed Natural Gas (CNG),14400,1
Wisconsin,2016,Propane,0,1
Wisconsin,2016,Hydrogen,0,1
Wisconsin,2016,Methanol,0,1
Wisconsin,2016,Gasoline,4500500,0
Wisconsin,2016,Diesel,154400,0
Wisconsin,2016,Unknown Fuel,52900,0
Wyoming,2016,Electric (EV),100,1
Wyoming,2016,Plug-In Hybrid Electric (PHEV),100,1
Wyoming,2016,Hybrid Electric (HEV),3800,1
Wyoming,2016,Biodiesel,0,1
Wyoming,2016,Ethanol/Flex (E85),64100,1
